created_at,id_str,text
Mon Apr 23 21:17:30 +0000 2018,988527305504034819,b'RT @LFC: Two cities. Two teams. One massive Champions League tie. Liverpool v AS Roma. https://t.co/WSwmKezN3i'
Mon Apr 23 21:17:30 +0000 2018,988527305457795074,b'Well that would make a very different version of Green Street https://t.co/tEQyZJ7ub3'
Mon Apr 23 21:17:31 +0000 2018,988527311124357121,"b""RT @DeadlineDayLive: Luis Enrique's is Arsenal's No 1 candidate to replace Ars\xc3\xa9ne Wenger as manager at the Emirates although the former Bar\xe2\x80\xa6"""
Mon Apr 23 21:17:31 +0000 2018,988527312365735937,"b""Lyon considers himself to be Gray's superior and tries his best to prove his superiority over him.\n#LyonBot"""
Mon Apr 23 21:17:31 +0000 2018,988527312290373635,b'RT @Rygista: Kova\xc4\x8di\xc4\x87 is 23 already has 100 games for the club. 30 apps this season despite 2 months injury Modri\xc4\x87\xe2\x80\x99s on last legs getting\xe2\x80\xa6'
Mon Apr 23 21:17:32 +0000 2018,988527313066381312,b'RT @ESPNFC: As Juventus fights for its record seventh straight league title it is also fighting the forces of time.\n\nWright Thompson took\xe2\x80\xa6'
Mon Apr 23 21:17:32 +0000 2018,988527314593075201,b'RT @BarclaysFooty: Fancy getting down to The Emirates to see @Arsenal play Burnley? RT to be in with a chance of winning tickets. T&amp;Cs: htt\xe2\x80\xa6'
Mon Apr 23 21:17:32 +0000 2018,988527314962210822,b'RT @TettehJulius5: Chelsea has won the epl'
Mon Apr 23 21:17:32 +0000 2018,988527316224692224,b'All together - BAN VEHICLE RENTALS !!!! https://t.co/2n5I7t4aJH'
Mon Apr 23 21:17:33 +0000 2018,988527318594449408,"b'RT @Football__Tweet: ""Football is too tribal. Rival fans can\'t mix with each other.""\n\nWhen Napoli and Juventus fans crossed paths in Turin\xe2\x80\xa6'"
Mon Apr 23 21:17:33 +0000 2018,988527319815000065,b'RT @LivEchonews: In an emotional tribute his grandad Dave Ashcroft said he would \xe2\x80\x9cnever be the same\xe2\x80\x9d following the loss of his eldest grand\xe2\x80\xa6'
Mon Apr 23 21:17:33 +0000 2018,988527319961784320,b'RT @doctor_oxford: Hundreds of protesters try to storm Alder Hey. Truly dreadful behaviour. This is a children\xe2\x80\x99s hospital for heaven\xe2\x80\x99s sak\xe2\x80\xa6'
Mon Apr 23 21:17:33 +0000 2018,988527320079261697,b'RT @RealTalkMUFC: Wayne Rooney was crucified by the press for 16 years for things every normal footballer did and nobody cared but a few li\xe2\x80\xa6'
Mon Apr 23 21:17:34 +0000 2018,988527321844998144,"b""@EIDiabloRojo Only top 6 matches he's been poor in is Spurs away City away Chelsea away &amp; Anfield. Class against\xe2\x80\xa6 https://t.co/6Uye7I4WkK"""
Mon Apr 23 21:17:34 +0000 2018,988527322302156802,"b""RT @mikesanz19: Wenger after Arsenal start smashing teams as soon as he says he's stepping down.. https://t.co/GN9aHLITKY"""
Mon Apr 23 21:17:34 +0000 2018,988527323170394113,"b""RT @Channel4News: Watch @krishgm's full 17 minute interview with J\xc3\xbcrgen Klopp - on Mo Salah motivating players Brexit Trump - and how to\xe2\x80\xa6"""
Mon Apr 23 21:17:34 +0000 2018,988527322776195073,b'Never question authority? Oh y\xe2\x80\x99all been basing again huh? Just supposed to blindly follow? Nah those days are over\xe2\x80\xa6 https://t.co/mMoI8dZTim'
